vendor_id,distance_bin,hour,dayofweek,minutes_per_mile
CMT,0–1mi,0,0,5.69316917025465
CMT,0–1mi,0,1,5.334007115894429
CMT,0–1mi,0,2,5.905963251978836
CMT,0–1mi,0,3,6.337123524865362
CMT,0–1mi,0,4,5.950081268082564
CMT,0–1mi,0,5,7.472708783496967
CMT,0–1mi,0,6,7.56688415833796
CMT,0–1mi,1,0,5.490714947484955
CMT,0–1mi,1,1,5.2861497485991675
CMT,0–1mi,1,2,5.730622643689853
CMT,0–1mi,1,3,5.4263840467435775
CMT,0–1mi,1,4,5.859664174518743
CMT,0–1mi,1,5,6.909067090829531
CMT,0–1mi,1,6,6.856684683086905
CMT,0–1mi,2,0,5.4698912597145615
CMT,0–1mi,2,1,5.29320962786698
CMT,0–1mi,2,2,5.298320696708687
CMT,0–1mi,2,3,5.42237664446015
CMT,0–1mi,2,4,5.719472956101925
CMT,0–1mi,2,5,6.3789691032094
CMT,0–1mi,2,6,6.19528164636985
CMT,0–1mi,3,0,4.936832176657534
CMT,0–1mi,3,1,5.8324663755614035
CMT,0–1mi,3,2,5.724369456163863
CMT,0–1mi,3,3,5.470181771208337
CMT,0–1mi,3,4,5.940142397279635
CMT,0–1mi,3,5,6.59465766197919
CMT,0–1mi,3,6,5.952798182064698
CMT,0–1mi,4,0,4.9754461076044265
CMT,0–1mi,4,1,4.851147588412392
CMT,0–1mi,4,2,5.0952595781298875
CMT,0–1mi,4,3,6.823967286444308
CMT,0–1mi,4,4,5.568094688862227
CMT,0–1mi,4,5,6.491262131464275
CMT,0–1mi,4,6,5.919953687878217
CMT,0–1mi,5,0,4.655903166721494
CMT,0–1mi,5,1,4.881943502748723
CMT,0–1mi,5,2,4.89745238887098
CMT,0–1mi,5,3,4.846062488933378
CMT,0–1mi,5,4,5.777026460641619
CMT,0–1mi,5,5,5.080296915616204
CMT,0–1mi,5,6,5.043797623371042
CMT,0–1mi,6,0,5.022659608318027
CMT,0–1mi,6,1,5.289544889219117
CMT,0–1mi,6,2,5.435482537589891
CMT,0–1mi,6,3,5.181191280750134
CMT,0–1mi,6,4,5.406411675088296
CMT,0–1mi,6,5,4.704802248771846
CMT,0–1mi,6,6,4.5714273548441025
CMT,0–1mi,7,0,6.004153649322836
CMT,0–1mi,7,1,6.720215781745679
CMT,0–1mi,7,2,6.857828745762077
CMT,0–1mi,7,3,6.647081442059922
CMT,0–1mi,7,4,6.5801196774690505
CMT,0–1mi,7,5,5.484550430759208
CMT,0–1mi,7,6,4.74002004965487
CMT,0–1mi,8,0,7.7088299400201095
CMT,0–1mi,8,1,8.890657751279022
CMT,0–1mi,8,2,9.06408839898901
CMT,0–1mi,8,3,9.04712250984075
CMT,0–1mi,8,4,8.913855963574449
CMT,0–1mi,8,5,5.811418529495469
CMT,0–1mi,8,6,5.116329070532866
CMT,0–1mi,9,0,8.26524978782717
CMT,0–1mi,9,1,9.82679960457142
CMT,0–1mi,9,2,10.65984837105494
CMT,0–1mi,9,3,9.847886097779455
CMT,0–1mi,9,4,9.9067784230241
CMT,0–1mi,9,5,6.368573151302554
CMT,0–1mi,9,6,5.549440210848636
CMT,0–1mi,10,0,7.676497453973284
CMT,0–1mi,10,1,9.512593904841548
CMT,0–1mi,10,2,10.127673889088058
CMT,0–1mi,10,3,9.604193679413257
CMT,0–1mi,10,4,9.649350905534078
CMT,0–1mi,10,5,6.818411314815894
CMT,0–1mi,10,6,5.85329850580216
CMT,0–1mi,11,0,8.392463897406936
CMT,0–1mi,11,1,9.749461285512554
CMT,0–1mi,11,2,10.678802889667688
CMT,0–1mi,11,3,9.61439361580286
CMT,0–1mi,11,4,10.131797495004648
CMT,0–1mi,11,5,7.4488394821682515
CMT,0–1mi,11,6,6.402125263471785
CMT,0–1mi,12,0,8.080294608262795
CMT,0–1mi,12,1,10.146416366491097
CMT,0–1mi,12,2,10.337267201573784
CMT,0–1mi,12,3,9.79114719065141
CMT,0–1mi,12,4,10.344070908474036
CMT,0–1mi,12,5,8.097952155440346
CMT,0–1mi,12,6,6.769371728797292
CMT,0–1mi,13,0,7.969712544410691
CMT,0–1mi,13,1,9.870975711252873
CMT,0–1mi,13,2,10.172662993457617
CMT,0–1mi,13,3,10.321305463382934
CMT,0–1mi,13,4,9.192685314320435
CMT,0–1mi,13,5,8.16833736218585
CMT,0–1mi,13,6,7.459959359845742
CMT,0–1mi,14,0,7.930170107942066
CMT,0–1mi,14,1,9.553491765409197
CMT,0–1mi,14,2,9.830070673341798
CMT,0–1mi,14,3,9.657199904344134
CMT,0–1mi,14,4,9.665757122748033
CMT,0–1mi,14,5,8.057116160829658
CMT,0–1mi,14,6,7.5849662147002945
CMT,0–1mi,15,0,7.910703201376629
CMT,0–1mi,15,1,9.382983520978636
CMT,0–1mi,15,2,9.871595840289789
CMT,0–1mi,15,3,9.398939503497667
CMT,0–1mi,15,4,9.740405941374727
CMT,0–1mi,15,5,8.031547874205803
CMT,0–1mi,15,6,7.311807451649041
CMT,0–1mi,16,0,7.4082961622151675
CMT,0–1mi,16,1,9.32953793960536
CMT,0–1mi,16,2,10.626848550174843
CMT,0–1mi,16,3,9.27336009751694
CMT,0–1mi,16,4,9.474848064325492
CMT,0–1mi,16,5,7.567907463155389
CMT,0–1mi,16,6,7.051280680080403
CMT,0–1mi,17,0,7.159998982934723
CMT,0–1mi,17,1,9.614658266839594
CMT,0–1mi,17,2,9.42555015051198
CMT,0–1mi,17,3,9.274022862156999
CMT,0–1mi,17,4,8.699365953808204
CMT,0–1mi,17,5,7.753435049100573
CMT,0–1mi,17,6,6.9508178099025315
CMT,0–1mi,18,0,6.974456416754261
CMT,0–1mi,18,1,8.742706064438329
CMT,0–1mi,18,2,8.820150429957728
CMT,0–1mi,18,3,8.76027765516951
CMT,0–1mi,18,4,8.331522202695405
CMT,0–1mi,18,5,8.032421620853956
CMT,0–1mi,18,6,7.545171859658259
CMT,0–1mi,19,0,6.389703067275448
CMT,0–1mi,19,1,7.667655756130316
CMT,0–1mi,19,2,7.37110180423295
CMT,0–1mi,19,3,8.10761576716227
CMT,0–1mi,19,4,8.230785309795897
CMT,0–1mi,19,5,9.583254823327533
CMT,0–1mi,19,6,7.169566593542007
CMT,0–1mi,20,0,6.025039819300266
CMT,0–1mi,20,1,6.51942155500936
CMT,0–1mi,20,2,6.671253822329973
CMT,0–1mi,20,3,7.6350453192601195
CMT,0–1mi,20,4,7.447664846304842
CMT,0–1mi,20,5,8.376428057807821
CMT,0–1mi,20,6,6.4203968323794385
CMT,0–1mi,21,0,5.863782761201552
CMT,0–1mi,21,1,6.290194651565045
CMT,0–1mi,21,2,6.288299791163709
CMT,0–1mi,21,3,6.663520819130197
CMT,0–1mi,21,4,7.622570058820564
CMT,0–1mi,21,5,8.10419630244658
CMT,0–1mi,21,6,6.1278041702368276
CMT,0–1mi,22,0,5.721337830515342
CMT,0–1mi,22,1,6.0089760310518505
CMT,0–1mi,22,2,6.2452872451788
CMT,0–1mi,22,3,6.577022914540388
CMT,0–1mi,22,4,7.243398476392067
CMT,0–1mi,22,5,8.309051065660306
CMT,0–1mi,22,6,5.778325891073654
CMT,0–1mi,23,0,5.539376028306511
CMT,0–1mi,23,1,5.818802147732482
CMT,0–1mi,23,2,7.128319212585839
CMT,0–1mi,23,3,6.135819918504023
CMT,0–1mi,23,4,8.111146026261867
CMT,0–1mi,23,5,8.080095517128672
CMT,0–1mi,23,6,5.247161360745049
CMT,1–3mi,0,0,4.3041478239849695
CMT,1–3mi,0,1,4.08462008097387
CMT,1–3mi,0,2,4.271481204890218
CMT,1–3mi,0,3,4.428624691035837
CMT,1–3mi,0,4,4.661368271609383
CMT,1–3mi,0,5,5.511977720720214
CMT,1–3mi,0,6,5.589839343635608
CMT,1–3mi,1,0,4.222277672416753
CMT,1–3mi,1,1,3.8935437535137654
CMT,1–3mi,1,2,4.178173265261511
CMT,1–3mi,1,3,4.239879753425943
CMT,1–3mi,1,4,4.278321691658549
