vendor_id,distance_bin,hour,dayofweek,minutes_per_mile
CMT,0–1mi,0,0,5.532519868274899
CMT,0–1mi,0,1,5.295466248949235
CMT,0–1mi,0,2,5.647291615423941
CMT,0–1mi,0,3,6.023382067803707
CMT,0–1mi,0,4,6.146501951314464
CMT,0–1mi,0,5,7.1126896339246795
CMT,0–1mi,0,6,7.314873828809413
CMT,0–1mi,1,0,5.273086889965445
CMT,0–1mi,1,1,5.966180585464974
CMT,0–1mi,1,2,5.43960334780331
CMT,0–1mi,1,3,5.730196068551593
CMT,0–1mi,1,4,5.942163871303652
CMT,0–1mi,1,5,6.53258226836225
CMT,0–1mi,1,6,6.6719851888606785
CMT,0–1mi,2,0,5.20701692696115
CMT,0–1mi,2,1,5.710715297497238
CMT,0–1mi,2,2,5.444472702301839
CMT,0–1mi,2,3,5.21962137714537
CMT,0–1mi,2,4,6.156368680552337
CMT,0–1mi,2,5,5.972409497155233
CMT,0–1mi,2,6,6.042095154838319
CMT,0–1mi,3,0,5.47069001610563
CMT,0–1mi,3,1,6.03451169629314
CMT,0–1mi,3,2,5.068557275864796
CMT,0–1mi,3,3,5.709037351878037
CMT,0–1mi,3,4,5.54163364880671
CMT,0–1mi,3,5,5.595347993268689
CMT,0–1mi,3,6,5.6249791248268775
CMT,0–1mi,4,0,5.123206053986504
CMT,0–1mi,4,1,5.7625716936603055
CMT,0–1mi,4,2,5.409493157011559
CMT,0–1mi,4,3,5.746990644625347
CMT,0–1mi,4,4,5.36637720893396
CMT,0–1mi,4,5,5.512144945175101
CMT,0–1mi,4,6,5.384558533064666
CMT,0–1mi,5,0,4.592325268032652
CMT,0–1mi,5,1,5.29505295743119
CMT,0–1mi,5,2,5.152296672782752
CMT,0–1mi,5,3,4.743184047006989
CMT,0–1mi,5,4,5.108014285539711
CMT,0–1mi,5,5,5.286093384200454
CMT,0–1mi,5,6,5.033881602514703
CMT,0–1mi,6,0,5.30984386384372
CMT,0–1mi,6,1,5.154010830284036
CMT,0–1mi,6,2,5.583443664242693
CMT,0–1mi,6,3,5.407414737701824
CMT,0–1mi,6,4,5.468987974618049
CMT,0–1mi,6,5,4.845912443311185
CMT,0–1mi,6,6,4.555137217875377
CMT,0–1mi,7,0,6.440319652095112
CMT,0–1mi,7,1,6.511952053674651
CMT,0–1mi,7,2,6.9986999389874125
CMT,0–1mi,7,3,6.276661141910407
CMT,0–1mi,7,4,6.4676050064167105
CMT,0–1mi,7,5,5.392312284220864
CMT,0–1mi,7,6,5.106756523524063
CMT,0–1mi,8,0,8.50168682650989
CMT,0–1mi,8,1,8.74354443295404
CMT,0–1mi,8,2,8.920492323809409
CMT,0–1mi,8,3,8.325906456781885
CMT,0–1mi,8,4,8.437848940527422
CMT,0–1mi,8,5,5.44695430967451
CMT,0–1mi,8,6,5.237684758356047
CMT,0–1mi,9,0,10.262360359501997
CMT,0–1mi,9,1,10.016594726900097
CMT,0–1mi,9,2,9.821775770920485
CMT,0–1mi,9,3,9.142982251814377
CMT,0–1mi,9,4,9.518774144117137
CMT,0–1mi,9,5,5.964342393617536
CMT,0–1mi,9,6,5.478416799385269
CMT,0–1mi,10,0,9.208523323869116
CMT,0–1mi,10,1,9.737267889530555
CMT,0–1mi,10,2,9.742738055181675
CMT,0–1mi,10,3,9.175481669839359
CMT,0–1mi,10,4,9.322966911303237
CMT,0–1mi,10,5,6.50509225842437
CMT,0–1mi,10,6,5.991155854660249
CMT,0–1mi,11,0,9.552746285905325
CMT,0–1mi,11,1,10.000580545080842
CMT,0–1mi,11,2,9.838304406468557
CMT,0–1mi,11,3,9.584371695281972
CMT,0–1mi,11,4,9.323817556180126
CMT,0–1mi,11,5,7.3155289368006935
CMT,0–1mi,11,6,6.097344509648721
CMT,0–1mi,12,0,9.646119693864623
CMT,0–1mi,12,1,11.101031638189957
CMT,0–1mi,12,2,11.167728783445014
CMT,0–1mi,12,3,9.24974759505155
CMT,0–1mi,12,4,10.014256726565595
CMT,0–1mi,12,5,7.267926567578459
CMT,0–1mi,12,6,6.47200839685019
CMT,0–1mi,13,0,9.330080368088664
CMT,0–1mi,13,1,10.235607971435048
CMT,0–1mi,13,2,10.74096893186484
CMT,0–1mi,13,3,9.909184770444831
CMT,0–1mi,13,4,9.515214621557453
CMT,0–1mi,13,5,7.655290993700471
CMT,0–1mi,13,6,6.715558896099977
CMT,0–1mi,14,0,9.09787584395685
CMT,0–1mi,14,1,9.775148100676443
CMT,0–1mi,14,2,10.920548030605525
CMT,0–1mi,14,3,8.947444798428831
CMT,0–1mi,14,4,9.725727249697938
CMT,0–1mi,14,5,7.338759605298573
CMT,0–1mi,14,6,7.315288608701222
CMT,0–1mi,15,0,9.413595928491432
CMT,0–1mi,15,1,9.587429644413678
CMT,0–1mi,15,2,10.550765275353484
CMT,0–1mi,15,3,9.17728167367842
CMT,0–1mi,15,4,10.581800299353498
CMT,0–1mi,15,5,7.08875001865409
CMT,0–1mi,15,6,6.8859232518765365
CMT,0–1mi,16,0,8.435032494283426
CMT,0–1mi,16,1,8.248364201325453
CMT,0–1mi,16,2,9.928002895496888
CMT,0–1mi,16,3,8.568577626493248
CMT,0–1mi,16,4,9.774951658662278
CMT,0–1mi,16,5,6.981150781028888
CMT,0–1mi,16,6,6.637437444357553
CMT,0–1mi,17,0,8.297353504046944
CMT,0–1mi,17,1,8.599278915650343
CMT,0–1mi,17,2,9.776625888686953
CMT,0–1mi,17,3,9.134125922647774
CMT,0–1mi,17,4,9.454804582996491
CMT,0–1mi,17,5,6.9566266712307785
CMT,0–1mi,17,6,6.750817503854344
CMT,0–1mi,18,0,7.582136596009669
CMT,0–1mi,18,1,9.126105219555575
CMT,0–1mi,18,2,9.728171276339532
CMT,0–1mi,18,3,8.492105770131136
CMT,0–1mi,18,4,9.292044383378991
CMT,0–1mi,18,5,7.63679759259897
CMT,0–1mi,18,6,6.661173900569037
CMT,0–1mi,19,0,6.684266789850942
CMT,0–1mi,19,1,7.414801808118853
CMT,0–1mi,19,2,8.013902545928657
CMT,0–1mi,19,3,7.994304886336395
CMT,0–1mi,19,4,8.825587708241475
CMT,0–1mi,19,5,7.935596170968672
CMT,0–1mi,19,6,6.705484133422324
CMT,0–1mi,20,0,6.007617883712162
CMT,0–1mi,20,1,6.669486399252495
CMT,0–1mi,20,2,7.548718620115335
CMT,0–1mi,20,3,7.199553187179189
CMT,0–1mi,20,4,7.5487790524521206
CMT,0–1mi,20,5,6.592493439368869
CMT,0–1mi,20,6,6.225871763452117
CMT,0–1mi,21,0,5.800746767543406
CMT,0–1mi,21,1,6.4711791878068405
CMT,0–1mi,21,2,6.469708330465294
CMT,0–1mi,21,3,6.786598881899515
CMT,0–1mi,21,4,7.142692920875031
CMT,0–1mi,21,5,7.2050155816342825
CMT,0–1mi,21,6,6.2228098346915175
CMT,0–1mi,22,0,5.727982248102189
