vendor_id,distance_bin,hour,dayofweek,minutes_per_mile
CMT,0–1mi,0,0,5.4921716312733215
CMT,0–1mi,0,1,5.5613295339323185
CMT,0–1mi,0,2,5.640295940529397
CMT,0–1mi,0,3,5.7128249180271595
CMT,0–1mi,0,4,5.986828525705198
CMT,0–1mi,0,5,6.799738265229958
CMT,0–1mi,0,6,191.07353302217228
CMT,0–1mi,1,0,5.1973675089652644
CMT,0–1mi,1,1,5.119516863894155
CMT,0–1mi,1,2,5.723900550442185
CMT,0–1mi,1,3,5.550051172009773
CMT,0–1mi,1,4,5.733520056240666
CMT,0–1mi,1,5,6.292941613083456
CMT,0–1mi,1,6,137.38379434179765
CMT,0–1mi,2,0,5.022636838420518
CMT,0–1mi,2,1,5.139894924475263
CMT,0–1mi,2,2,5.404552768650605
CMT,0–1mi,2,3,5.382665389878857
CMT,0–1mi,2,4,5.613743955968755
CMT,0–1mi,2,5,6.020735431926789
CMT,0–1mi,2,6,161.55765953082079
CMT,0–1mi,3,0,5.333897697390233
CMT,0–1mi,3,1,5.137164500630329
CMT,0–1mi,3,2,5.326718729061397
CMT,0–1mi,3,3,5.2456770412528115
CMT,0–1mi,3,4,5.355620642562316
CMT,0–1mi,3,5,6.09560267236737
CMT,0–1mi,3,6,397.94278110388973
CMT,0–1mi,4,0,5.257947153696229
CMT,0–1mi,4,1,4.827999706479612
CMT,0–1mi,4,2,6.347094164148785
CMT,0–1mi,4,3,5.096255314851115
CMT,0–1mi,4,4,5.316495138785625
CMT,0–1mi,4,5,5.455696303476677
CMT,0–1mi,4,6,99.36173515131323
CMT,0–1mi,5,0,4.707507499941042
CMT,0–1mi,5,1,4.4735062173093105
CMT,0–1mi,5,2,4.688403512838018
CMT,0–1mi,5,3,4.812329932483605
CMT,0–1mi,5,4,4.813969138791043
CMT,0–1mi,5,5,4.9406519034282566
CMT,0–1mi,5,6,662.1266050549534
CMT,0–1mi,6,0,5.063521463631237
CMT,0–1mi,6,1,5.0213984605772675
CMT,0–1mi,6,2,5.163881334592781
CMT,0–1mi,6,3,5.050831615396056
CMT,0–1mi,6,4,5.243038115965297
