vendor_id,distance_bin,hour,dayofweek,minutes_per_mile
CMT,0–1mi,0,0,5.445381242130076
CMT,0–1mi,0,1,7.929407203102738
CMT,0–1mi,0,2,5.7436234239396144
CMT,0–1mi,0,3,6.241994954436739
CMT,0–1mi,0,4,6.193875347353542
CMT,0–1mi,0,5,6.797929406903537
CMT,0–1mi,0,6,7.60872719383442
CMT,0–1mi,1,0,5.285684978976597
CMT,0–1mi,1,1,6.4158287037016715
CMT,0–1mi,1,2,6.292245302480343
CMT,0–1mi,1,3,5.379025601872665
CMT,0–1mi,1,4,6.0522371230998795
CMT,0–1mi,1,5,6.350983136116909
CMT,0–1mi,1,6,6.716622693559451
CMT,0–1mi,2,0,6.297009979575516
CMT,0–1mi,2,1,6.180977080845106
CMT,0–1mi,2,2,6.455246934824294
CMT,0–1mi,2,3,6.069072417701291
CMT,0–1mi,2,4,5.9630538094886445
CMT,0–1mi,2,5,5.998345035597559
CMT,0–1mi,2,6,6.625973610269613
CMT,0–1mi,3,0,7.63750923769483
CMT,0–1mi,3,1,5.676755151730446
CMT,0–1mi,3,2,6.087069820931887
CMT,0–1mi,3,3,5.777033437417327
CMT,0–1mi,3,4,5.50022478257585
CMT,0–1mi,3,5,6.905528038769537
CMT,0–1mi,3,6,7.014571129084447
CMT,0–1mi,4,0,5.4947447013695925
CMT,0–1mi,4,1,5.343358722019983
CMT,0–1mi,4,2,8.342926514160272
CMT,0–1mi,4,3,5.533167115156981
CMT,0–1mi,4,4,5.626333874418001
CMT,0–1mi,4,5,5.738213089346472
CMT,0–1mi,4,6,6.0194167008178905
CMT,0–1mi,5,0,5.229966966281158
CMT,0–1mi,5,1,5.368011459397304
CMT,0–1mi,5,2,5.231219479763305
CMT,0–1mi,5,3,6.569020429137984
CMT,0–1mi,5,4,5.558143753559633
CMT,0–1mi,5,5,5.741417556427773
CMT,0–1mi,5,6,6.058962645132024
CMT,0–1mi,6,0,5.02598846429326
CMT,0–1mi,6,1,5.115212444388851
CMT,0–1mi,6,2,5.768420885031984
CMT,0–1mi,6,3,5.807245524489418
CMT,0–1mi,6,4,5.216029238700053
CMT,0–1mi,6,5,5.304720312971964
CMT,0–1mi,6,6,5.309800562892607
CMT,0–1mi,7,0,5.697840240928922
CMT,0–1mi,7,1,6.296195073634266
CMT,0–1mi,7,2,6.668585953122731
CMT,0–1mi,7,3,6.686914050409226
CMT,0–1mi,7,4,6.406800332169175
CMT,0–1mi,7,5,5.131855579121479
CMT,0–1mi,7,6,4.664771493188989
CMT,0–1mi,8,0,8.190562070636727
CMT,0–1mi,8,1,7.6148371214739825
CMT,0–1mi,8,2,7.71314891132882
CMT,0–1mi,8,3,7.5899516083593666
CMT,0–1mi,8,4,8.089755164417921
CMT,0–1mi,8,5,5.187774625098123
CMT,0–1mi,8,6,4.990177625809593
CMT,0–1mi,9,0,7.834974351052135
CMT,0–1mi,9,1,8.497289789408539
CMT,0–1mi,9,2,8.974752631552253
CMT,0–1mi,9,3,8.914244301764132
CMT,0–1mi,9,4,8.702513486871347
CMT,0–1mi,9,5,5.693739761875981
CMT,0–1mi,9,6,5.017919849674657
CMT,0–1mi,10,0,7.588530680470453
CMT,0–1mi,10,1,8.00171124233998
CMT,0–1mi,10,2,7.761350530581838
CMT,0–1mi,10,3,8.750662343724864
CMT,0–1mi,10,4,8.655828964905174
CMT,0–1mi,10,5,5.893668551582778
CMT,0–1mi,10,6,5.6556366081894875
CMT,0–1mi,11,0,9.934679232192813
CMT,0–1mi,11,1,7.694810341383434
CMT,0–1mi,11,2,8.344392131394628
CMT,0–1mi,11,3,8.409877288693348
CMT,0–1mi,11,4,8.161413974657554
CMT,0–1mi,11,5,6.172184083336383
CMT,0–1mi,11,6,5.627073038768438
CMT,0–1mi,12,0,8.108341904908919
CMT,0–1mi,12,1,7.71048746532096
CMT,0–1mi,12,2,8.597151644711243
CMT,0–1mi,12,3,8.83400163311155
CMT,0–1mi,12,4,8.423812368039416
CMT,0–1mi,12,5,7.004429169551219
CMT,0–1mi,12,6,6.31413449151739
CMT,0–1mi,13,0,7.594986161490832
CMT,0–1mi,13,1,7.772710366129068
CMT,0–1mi,13,2,8.239462006411873
CMT,0–1mi,13,3,8.453375194211587
CMT,0–1mi,13,4,8.319303369886809
CMT,0–1mi,13,5,7.5315964619816915
CMT,0–1mi,13,6,6.763743145976872
CMT,0–1mi,14,0,7.626136004174695
CMT,0–1mi,14,1,7.461409433447
CMT,0–1mi,14,2,8.540053984067365
CMT,0–1mi,14,3,8.357035782584886
CMT,0–1mi,14,4,8.924625064208955
CMT,0–1mi,14,5,7.616636496264555
CMT,0–1mi,14,6,7.27441450961431
CMT,0–1mi,15,0,7.809115728192953
CMT,0–1mi,15,1,7.3741998893802485
CMT,0–1mi,15,2,12.199827448182738
CMT,0–1mi,15,3,8.05114068542775
CMT,0–1mi,15,4,8.295600029413633
CMT,0–1mi,15,5,6.786500073269243
